"","actor","location","start_date","end_date","ended","est_fat","org"
"62","CNDP","DR Congo","2007-09-11","2008-11-27",1,60,1
"63","Comando Vermelho","Brazil","1993-06-19","",0,28,1
"64","Comando Vermelho","Brazil","1993-06-19","1995-12-10",1,40,1
"65","Comando Vermelho","Brazil","1993-06-19","1997-12-13",1,29,1
"66","Comando Vermelho","Brazil","1993-06-19","",0,74,1
"67","Comando Vermelho","Brazil","1993-06-19","",0,48,1
"68","Comando Vermelho","Brazil","1993-06-19","",0,35,1
"69","Comando Vermelho","Brazil","1993-06-19","2004-07-04",1,34,1
"70","CPN-M","Nepal","2007-01-19","2007-03-28",1,30,1
"71","Dabare subclan of Digil clan","Somalia","2004-05-30","2004-12-16",1,47,3
"72","Darsalim","Chad","2006-11-07","2006-11-07",1,140,3
"73","Da'ud subclan of Abgal clan","Somalia","2004-01-21","2004-09-22",1,132,3
"74","Dawa","Ethiopia","2003-12-06","2003-12-06",1,55,3
"75","Derashe","Ethiopia","2008-02-07","2008-02-07",1,33,3
"76","Didinga","Sudan","2007-05-05","2007-05-05",1,54,3
"77","Dir clan","Somalia","2004-02-21","2004-03-20",1,121,3
"78","Dir clan","Somalia","2002-01-13","",0,65,3
"79","Dir clan","Somalia","2002-01-13","2003-07-09",1,43,3
"80","Dizi","Ethiopia","1991-12-31","1991-12-31",1,91,3
"81","Dizi","Ethiopia","1991-12-31","1993-12-31",1,62,3
"82","Dizi","Ethiopia","1991-12-31","2002-11-17",1,35,3
"83","DKBA","Myanmar , Thailand","1994-12-07","1996-09-23",1,66,1
"84","DKBA","Myanmar","1994-12-07","1998-09-25",1,86,1
"85","DKBA","Myanmar","1994-12-07","2007-12-18",1,45,1
"86","Nyangatom","Kenya","1993-07-11","1993-07-11",1,157,3
"87","Nyangatom","Ethiopia","1993-07-11","2006-12-31",1,31,3
"88","Duduble subclan of Gorgorte clan","Somalia","1998-12-24","2004-03-05",1,47,3
"89","Duduble subclan of Gorgorte clan","Somalia","1998-12-24","2012-12-01",1,38,3
"90","FAPC","DR Congo","2004-07-07","2004-07-08",1,51,1
"91","Fatah","Israel","1991-09-22","",0,36,1
"92","Fatah","Israel","1991-09-22","2007-12-31",1,235,1
"93","FRCI","Ivory Coast","2004-01-31","2004-06-21",1,134,1
"94","FRCI","Ivory Coast","2005-02-28","2005-02-28",1,28,1
"95","Forces of Abdul Rahman Khan","Afghanistan","2003-08-13","2003-08-13",1,25,1
"96","Forces of Abdullahi Yusuf","Somalia","2001-11-21","2002-12-27",1,70,1
"97","Forces of Amanullah Khan","Afghanistan","2006-10-09","2006-10-22",1,36,1
"98","Forces of Amanullah Khan","Afghanistan","2002-07-23","2002-12-02",1,110,1
"99","Forces of Amanullah Khan","Afghanistan","2002-07-23","2004-08-16",1,42,1
"100","Fulani","Nigeria","2003-03-02","2003-03-02",1,100,3
"101","Fulani","Nigeria","2002-01-08","2002-01-08",1,50,3
"102","Fulani","Nigeria","2002-01-08","2017-06-22",1,40,3
"103","Gaadsan subclan of Biimaal clan","Somalia","2008-04-28","2008-12-05",1,40,3
"104","Gabra","Ethiopia","2005-04-03","2005-04-29",1,43,3
"105","Galje'el clan","Somalia","2005-06-07","2005-06-09",1,36,3
"106","Gamai","Nigeria","2006-04-13","2006-04-13",1,25,3
"107","Garre subclan of Digil clan","Somalia","2005-04-10","2005-07-23",1,99,3
"108","Garre subclan of Digil clan","Kenya","2005-01-01","2005-04-04",1,63,3
"109","Garre subclan of Digil clan","Kenya","2005-01-01","2008-10-16",1,31,3
"110","Gumuz","Ethiopia","2007-09-30","2008-05-21",1,145,3
"111","Falata","Sudan","2007-01-31","",0,125,3
"112","Falata","Sudan","2007-01-31","",0,150,3
"113","Falata","Sudan","2007-01-31","2009-04-19",1,99,3
"114","Habaniya","Sudan","2006-07-20","2006-07-20",1,150,3
"115","Habaniya","Sudan","2006-07-20","2015-07-16",1,198,3
"116","Hausa","Nigeria","2000-02-28","2000-02-28",1,50,3
"117","Hausa","Nigeria","2002-07-07","2002-10-04",1,35,3
"118","Hausa","Nigeria","1998-07-13","",0,60,3
"119","Hausa","Nigeria","1998-07-13","1999-07-25",1,93,3
"120","Hausa","Nigeria","1998-07-13","2002-02-05",1,100,3
"121","Hausa","Nigeria","1998-07-13","2017-03-08",1,46,3
"122","Hema","DR Congo","1999-05-14","",0,1405,3
"123","Hema","DR Congo","1999-05-14","",0,656,3
"124","Hema","DR Congo","1999-05-14","",0,474,3
"125","Hema","DR Congo","1999-05-14","",0,1946,3
"126","Hema","DR Congo","1999-05-14","2003-10-31",1,258,3
"127","Hezbollah","Lebanon","2008-05-09","2008-05-27",1,38,1
"128","Hotiya Baggara","Sudan","2005-12-31","2005-12-31",1,251,3
"129","Huaorani","Ecuador","2003-05-27","2003-05-27",1,26,3
"130","Huber subclan of Mirifle clan","Somalia","2005-08-12","2005-08-19",1,35,3
"131","Ijaw","Nigeria","1997-03-30","",0,418,3
"132","Ijaw","Nigeria","1997-03-30","",0,25,3
"133","Ijaw","Nigeria","1997-03-30","1999-06-30",1,120,3
"134","Ijaw","Nigeria","1997-03-30","2003-12-18",1,105,3
"135","IMU","Pakistan","2007-03-06","2007-09-02",1,319,1
"136","IS","Iraq","2007-05-13","2007-11-10",1,123,1
"137","Izzi","Nigeria","2005-04-25","2005-04-25",1,100,3
"138","Forces of Shah Sahib","Pakistan","2008-07-16","2008-07-19",1,51,1
"139","Janjaweed","Sudan","2003-11-26","2003-11-26",1,186,1
"140","Janjaweed","Sudan","2005-01-30","2005-04-20",1,30,1
"141","Janjaweed - Bin Kulaib faction","Sudan","2005-11-30","2005-11-30",1,44,1
"142","Jie","Kenya","1999-07-10","1999-07-10",1,40,3
"143","Jie","Kenya","1999-07-10","2008-02-10",1,57,3
"144","Juarez Cartel","Mexico","2004-01-25","2004-09-12",1,61,1
"145","Juarez Cartel","Mexico","2004-01-25","",0,1580,1
"146","Juarez Cartel","Mexico","2004-01-25","",0,2063,1
"147","Juarez Cartel","Mexico","2004-01-25","",0,2515,1
"148","Juarez Cartel","Mexico","2004-01-25","",0,1658,1
"149","Juarez Cartel","Mexico","2004-01-25","",0,547,1
"150","Juarez Cartel","Mexico","2004-01-25","",0,127,1
"151","Juarez Cartel","Mexico","2004-01-25","",0,49,1
"152","Juarez Cartel","Mexico","2004-01-25","",0,38,1
"153","Juarez Cartel","Mexico","2004-01-25","",0,59,1
"154","Juarez Cartel","Mexico","2004-01-25","2017-12-20",1,65,1
"155","JVA","Somalia","2002-06-02","2003-10-28",1,25,1
"156","Forces of General Morgan","Somalia","1999-01-06","1999-08-12",1,78,1
"157","Forces of General Morgan","Somalia","1999-01-06","2004-09-20",1,37,1
"158","Kachai sub-tribe of Bangesh","Pakistan","2008-03-22","2008-03-28",1,58,3
"159","Kalenjin","Kenya","1991-12-27","",0,42,3
"160","Kalenjin","Kenya","1991-12-27","",0,35,3
"161","Kalenjin","Kenya","1991-12-27","1994-03-31",1,28,3
"162","Kalenjin","Kenya","1991-12-27","1998-01-25",1,127,3
"163","Kalenjin","Kenya","1991-12-27","2008-12-31",1,78,3
"164","Kalenjin","Kenya","2008-02-03","2008-02-05",1,81,3
"165","Kusasi","Ghana","2000-12-09","",0,30,3
"166","Kusasi","Ghana","2000-12-09","2001-12-04",1,50,3
"167","Kusasi","Ghana","2000-12-09","2008-06-27",1,55,3
"168","Lashkar of Salarzai tribe","Pakistan","2008-08-28","2008-10-04",1,34,1
"169","Lou Nuer","Sudan","2006-05-31","",0,150,3
"170","Lou Nuer","Sudan","2006-05-31","2007-08-15",1,60,3
"171","Lou Nuer","Sudan","2006-05-31","2009-08-02",1,1195,3
"172","Lou Nuer","South Sudan, Sudan","2006-05-31","",0,1415,3
"173","Lou Nuer","South Sudan, Ethiopia","2006-05-31","",0,424,3
"174","Lou Nuer","South Sudan","2006-05-31","2013-08-08",1,118,3
"175","Lou Nuer","South Sudan","2006-05-31","",0,101,3
"176","Lou Nuer","South Sudan","2006-05-31","2017-04-10",1,32,3
"177","Hol Dinka","Sudan","2008-05-17","",0,31,3
"178","Hol Dinka","Sudan","2008-05-17","2009-10-16",1,237,3
"179","LRA","Sudan","1995-10-30","",0,36,1
"180","LRA","Sudan","1995-10-30","",0,152,1
"181","LRA","Sudan","1995-10-30","",0,100,1
"182","LRA","Sudan","1995-10-30","1998-09-14",1,58,1
"183","LRA","Sudan","1995-10-30","2004-12-22",1,142,1
"184","LTTE","Sri Lanka","2004-03-30","",0,60,1
"185","LTTE","Sri Lanka","2004-03-30","",0,30,1
"186","LTTE","Sri Lanka","2004-03-30","2006-12-30",1,97,1
"187","Lumad","Philippines","2006-06-22","2006-06-30",1,25,3
"188","Kikuyu","Kenya","2007-12-31","2008-02-18",1,42,3
"189","Ma'aliyah","Sudan","2002-05-25","2002-05-25",1,53,3
"190","Ma'aliyah","Sudan","2002-05-25","2004-12-31",1,69,3
"191","Ma'aliyah","Sudan","2002-05-25","",0,229,3
"192","Ma'aliyah","Sudan","2002-05-25","",0,395,3
"193","Ma'aliyah","Sudan","2002-05-25","",0,252,3
"194","Ma'aliyah","Sudan","2002-05-25","",0,27,3
"195","Ma'aliyah","Sudan","2002-05-25","2017-07-22",1,68,3
"196","Mangal","Pakistan","2007-04-07","",0,187,3
"197","Mangal","Pakistan","2007-04-07","2008-09-23",1,58,3
"198","Mara 18","Guatemala","2001-04-26","2005-09-19",1,56,1
"199","Fiqi Muhumud subclan","Somalia","2003-05-22","2003-12-16",1,104,3
"200","Majerteen subclan","Ethiopia","1994-12-08","2006-02-17",1,100,3
"201","Majerteen subclan","Ethiopia","2004-06-10","2004-06-10",1,54,3
"202","Dassanetch","Kenya","1991-12-31","1997-06-30",1,28,3
"203","Dassanetch","Kenya","1991-12-31","2000-02-23",1,142,3
"204","Dassanetch","Ethiopia, Kenya","1991-12-31","2005-11-30",1,36,3
"205","Dassanetch","Kenya, Ethiopia","1991-12-31","2009-11-30",1,54,3
"206","Dassanetch","Kenya","1991-12-31","2011-08-07",1,55,3
"207","MFDC Front Nord - MD","Senegal","2006-06-07","2006-06-15",1,124,1
"208","Misseriya","Sudan","2004-12-31","",0,67,3
"209","Misseriya","Sudan","2004-12-31","",0,244,3
"210","Misseriya","Sudan","2004-12-31","2010-08-18",1,342,3
"211","Misseriya","Sudan","2004-12-31","2012-07-19",1,58,3
"212","Misseriya","Sudan","2004-12-31","2015-12-12",1,29,3
"213","Mohamed Muse subclan of Abgal clan","Somalia","2003-03-01","2003-07-30",1,64,3
"214","MDF","Kenya","2008-01-31","2008-01-31",1,32,1
"215","Murle","Ethiopia","2006-04-15","2006-04-29",1,59,3
"216","Murle","Ethiopia","2006-04-15","2016-04-15",1,150,3
"217","NDPVF","Nigeria","2004-02-21","2004-11-04",1,59,1
"218","NSCN-IM","India","1999-08-19","2001-12-11",1,59,1
"219","NSCN-IM","India","1999-08-19","",0,29,1
"220","NSCN-IM","India","1999-08-19","",0,68,1
"221","NSCN-IM","India","1999-08-19","",0,76,1
"222","NSCN-IM","India","1999-08-19","2008-12-11",1,51,1
"223","NSCN-IM","India","1999-08-19","2011-03-15",1,37,1
"224","NSCN-IM","India","2008-04-17","2008-08-01",1,36,1
"225","Nyangatom , Toposa","Kenya","2006-01-13","2006-01-13",1,58,3
"226","Ogaden clan","Somalia","1999-09-01","1999-09-09",1,70,3
"227","Ogaden clan","Ethiopia","1999-09-01","2002-05-31",1,435,3
"228","Oromo","Ethiopia","1991-07-07","2000-07-16",1,40,3
"229","Oromo","Ethiopia","1991-07-07","2003-12-26",1,33,3
"230","Oromo","Ethiopia","1991-07-07","2005-06-30",1,102,3
"231","Oromo","Ethiopia","1991-07-07","2017-12-17",1,276,3
"232","Palipehutu-FNL","Burundi","2007-09-04","2007-10-21",1,52,1
"233","PDF","Sudan","2002-11-09","2002-11-09",1,38,1
"234","Pian Karimojong","Uganda","1998-04-13","2003-11-30",1,34,3
"235","Pokot","Uganda","2003-04-11","2003-04-11",1,30,3
"236","Puntland State of Somalia","Somalia","2002-12-07","2004-11-17",1,34,1
"237","Mayi Mayi","DR Congo","1998-08-23","",0,29,1
"238","Mayi Mayi","DR Congo","1998-08-23","",0,115,1
"239","Mayi Mayi","DR Congo","1998-08-23","2000-12-14",1,107,1
"240","Mayi Mayi","DR Congo","1998-08-23","",0,378,1
"241","Mayi Mayi","DR Congo","1998-08-23","2003-07-31",1,53,1
"242","FRF","DR Congo","2002-02-25","2002-04-16",1,221,1
"243","RCD-K-ML","DR Congo","2003-03-16","2003-03-16",1,45,1
"244","RCD-K-ML","DR Congo","2001-06-10","",0,40,1
"245","RCD-K-ML","DR Congo","2001-06-10","2002-08-31",1,158,1
"246","Rizeigat Abbala","Sudan","2007-01-06","2007-08-14",1,382,3
"247","RRA","Somalia","2001-01-02","",0,154,1
"248","RRA","Somalia","2001-01-02","2003-10-11",1,80,1
"249","RRA","Somalia","2001-01-02","2005-05-30",1,34,1
"250","Sa'ad subclan of Habar Gidir clan","Somalia","1998-03-26","",0,156,3
"251","Sa'ad subclan of Habar Gidir clan","Somalia","1998-03-26","",0,103,3
"252","Sa'ad subclan of Habar Gidir clan","Somalia","1998-03-26","2006-06-12",1,48,3
"253","Sa'ad subclan of Habar Gidir clan","Somalia","1998-03-26","2011-08-28",1,40,3
"254","Gulf Cartel","Mexico","2004-01-25","",0,106,1
"255","Gulf Cartel","Mexico","2004-01-25","",0,187,1
"256","Gulf Cartel","Mexico","2004-01-25","",0,627,1
"257","Gulf Cartel","Mexico","2004-01-25","",0,448,1
"258","Gulf Cartel","Guatemala, Mexico","2004-01-25","",0,72,1
"259","Gulf Cartel","Mexico","2004-01-25","",0,150,1
"260","Gulf Cartel","Mexico, Honduras","2004-01-25","2010-05-10",1,42,1
"261","SLM/A","Sudan","2005-11-01","",0,45,1
"262","SLM/A","Sudan","2005-11-01","2006-07-07",1,57,1
"263","Rer Ahmad subclan","Kenya, Somalia","2004-05-08","2004-06-02",1,69,3
"264","RCSS","Myanmar","2001-03-18","2005-04-26",1,110,1
"265","Sa'ad subclan of Habar Gidir clan","Somalia","2003-07-09","2003-07-09",1,28,3
"266","Tama","Chad","2006-03-19","",0,74,3
"267","Tama","Chad","2006-03-19","2007-10-15",1,126,3
"268","Tijuana Cartel","Mexico","2008-02-12","",0,185,1
"269","Tijuana Cartel","Mexico","2008-02-12","",0,47,1
"270","Tijuana Cartel","Mexico","2008-02-12","2010-10-24",1,54,1
"271","Toposa","Sudan","1992-10-31","1992-10-31",1,200,3
"272","Toposa","Kenya","1992-10-31","2008-08-31",1,25,3
"273","Toposa","Kenya, Sudan","1992-10-31","2011-06-17",1,47,3
"274","Pokot","Kenya","1995-12-05","1995-12-05",1,44,3
"275","Pokot","Kenya","1995-12-05","1999-06-26",1,115,3
"276","Pokot","Kenya","1995-12-05","",0,28,3
"277","Pokot","Kenya, Uganda","1995-12-05","2006-12-29",1,34,3
"278","Pokot","Kenya, Uganda","1995-12-05","2008-09-03",1,88,3
"279","Pokot","Kenya","1995-12-05","2010-11-25",1,55,3
"280","Pokot","Kenya","1995-12-05","",0,27,3
"281","Pokot","Kenya","1995-12-05","",0,45,3
"282","Pokot","Kenya","1995-12-05","2015-05-27",1,102,3
"283","USC/SSA","Somalia","2001-12-27","",0,34,1
"284","USC/SSA","Somalia","2001-12-27","",0,62,1
"285","USC/SSA","Somalia","2001-12-27","2003-11-23",1,72,1
"286","Ma'aliyah","Sudan","2008-10-10","2008-10-10",1,41,3
"287","Harakat-i Inqilab-i Islami-yi Afghanistan","Afghanistan","1989-08-29","1989-08-29",1,70,1
"288","Hizb-i Wahdat","Afghanistan","1994-05-29","1996-12-21",1,25,1
"289","Hizb-i Wahdat","Afghanistan","1994-05-29","2003-07-28",1,59,1
"290","Hizb-i Islami-yi Afghanistan","Afghanistan","1994-07-09","1994-07-09",1,25,1
"291","Hizb-i Islami-yi Afghanistan","Afghanistan","1991-08-25","1991-11-02",1,51,1
"292","Hizb-i Islami-yi Afghanistan","Afghanistan","1989-05-10","",0,167,1
"293","Hizb-i Islami-yi Afghanistan","Afghanistan","1989-05-10","",0,36,1
"294","Hizb-i Islami-yi Afghanistan","Afghanistan","1989-05-10","1991-07-31",1,200,1
"295","Hizb-i Islami-yi Afghanistan","Afghanistan","1993-12-28","1994-04-20",1,27,1
"296","Hizb-i Islami-yi Afghanistan","Afghanistan","1993-12-28","1996-03-03",1,200,1
"297","Hizb-i Islami-yi Afghanistan","Afghanistan","1994-10-12","",0,66,1
"298","Hizb-i Islami-yi Afghanistan","Afghanistan","1994-10-12","1995-02-13",1,42,1
"299","Hizb-i Islami-yi Afghanistan","Afghanistan","1994-10-12","",0,99,1
"300","Hizb-i Islami-yi Afghanistan","Afghanistan","1994-10-12","2011-09-17",1,25,1
"301","Jam'iyyat-i Islami-yi Afghanistan","Afghanistan","1992-12-09","1992-12-22",1,90,1
"302","Jam'iyyat-i Islami-yi Afghanistan","Afghanistan","1992-12-09","",0,136,1
"303","Jam'iyyat-i Islami-yi Afghanistan","Afghanistan","1992-12-09","2003-11-02",1,158,1
"304","Jam'iyyat-i Islami-yi Afghanistan","Afghanistan","1996-02-03","1996-02-03",1,100,1
"305","Jam'iyyat-i Islami-yi Afghanistan","Afghanistan","1995-12-26","1995-12-26",1,25,1
"306","GIA - El Ahd Battalion","Algeria","1998-04-26","1998-04-26",1,62,1
"307","GIA - El Forkane","Algeria","1998-06-09","1998-06-09",1,56,1
"308","AIS","Algeria","1994-02-06","1995-05-16",1,51,1
"309","AIS","Algeria","1994-02-06","",0,250,1
"310","AIS","Algeria","1994-02-06","1998-12-30",1,25,1
"311","BCP","Bangladesh","1993-01-17","1993-05-15",1,27,1
"312","Laime","Bolivia","1998-01-26","2000-07-08",1,50,3
"313","ALiR","Burundi","2000-02-12","2000-02-12",1,100,1
"314","Bafanji","Cameroon","1998-02-28","1998-03-25",1,51,3
"315","Banya","Cameroon","1991-07-17","1991-07-17",1,50,3
"316","Choa Arab","Cameroon","1992-01-30","",0,25,3
"317","Choa Arab","Cameroon","1992-01-30","",0,47,3
"318","Choa Arab","Cameroon","1992-01-30","1994-03-26",1,34,3
"319","Hells Angels","Mexico, Canada","1994-10-20","1995-12-31",1,25,1
"320","Hells Angels","Canada","1994-10-20","1998-12-31",1,27,1
"321","Khozam","Chad","2000-11-21","2000-11-28",1,72,3
"322","AUC","Colombia","1997-05-30","1998-11-20",1,53,1
"323","AUC","Colombia","1997-05-30","",0,35,1
"324","AUC","Colombia","1997-05-30","2001-10-30",1,41,1
"325","Cali Cartel","Colombia","1990-05-03","1990-10-25",1,41,1
"326","Medellín Cartel","Colombia","1993-02-05","1993-06-02",1,45,1
"327","MPA/Republic of Anjouan","Comoros","1998-12-06","1998-12-08",1,40,1
"328","AFDL","DR Congo","1997-01-10","1997-03-20",1,120,1
"329","AFDL","DR Congo","1996-11-05","1997-01-03",1,33,1
"330","Hunde","DR Congo","1993-04-30","1993-09-07",1,157,3
"331","Hunde","DR Congo","1993-04-30","",0,465,3
"332","Hunde","DR Congo","1993-04-30","1996-10-21",1,119,3
"333","Banyarwanda","DR Congo","1993-03-21","",0,3051,3
"334","Banyarwanda","DR Congo","1993-03-21","1994-12-31",1,146,3
"335","CNDD-FDD , Mayi Mayi","DR Congo","2000-04-13","2000-05-15",1,97,1
"336","RCD-ML","DR Congo","2000-09-11","2000-11-15",1,65,1
"337","Mayi Mayi","DR Congo","1999-11-14","1999-11-25",1,80,1
"338","Amhara","Ethiopia","1989-03-31","1991-11-14",1,25,3
"339","Amhara","Ethiopia","1989-03-31","",0,108,3
"340","Amhara","Ethiopia","1989-03-31","2001-03-31",1,100,3
"341","Arbore","Ethiopia","1992-06-18","1992-06-18",1,317,3
"342","Borana","Ethiopia","1992-12-31","1992-12-31",1,51,3
"343","Borana","Ethiopia, Kenya","1992-12-31","1998-12-31",1,225,3
"344","Borana","Ethiopia","1992-12-31","2000-05-20",1,65,3
"345","Borana","Ethiopia","2000-07-15","",0,68,3
"346","Borana","Ethiopia","2000-07-15","2001-12-31",1,93,3
"347","Borana","Ethiopia","2000-07-15","2009-05-24",1,34,3
"348","Borana, Guji","Ethiopia","2000-09-07","",0,72,3
"349","Borana, Guji","Ethiopia","2000-09-07","2001-11-30",1,31,3
"350","Derashe","Ethiopia","2001-11-23","2001-11-23",1,40,3
"351","Gedeo","Ethiopia","1995-12-31","1995-12-31",1,1000,3
"352","Gedeo","Ethiopia","1995-12-31","1998-07-22",1,700,3
"353","Rer Liban subclan","Ethiopia","1992-06-30","1992-06-30",1,100,3
"354","Forest Brothers, White Legion","Georgia","1998-05-20","1998-05-23",1,38,1
"355","Republic of Abkhazia","Georgia","1997-07-08","1997-12-24",1,26,1
"356","Gonja","Ghana","1991-06-25","",0,30,3
"357","Gonja","Ghana","1991-06-25","1992-05-25",1,63,3
"358","Dagomba, Gonja, Nanumba","Ghana","1993-01-31","",0,2004,3
"359","Dagomba, Gonja, Nanumba","Ghana","1993-01-31","1995-04-23",1,155,3
"360","Torma","Guinea","2000-01-03","2000-01-03",1,31,3
"361","Bodo","India","1996-05-16","1996-08-06",1,185,3
"362","Bodo","India","1996-05-16","1998-11-18",1,94,3
"363","HuM","India","1991-05-05","1993-12-31",1,75,1
"364","Kuki","India","1993-09-15","",0,211,3
"365","Kuki","India","1993-09-15","",0,41,3
"366","Kuki","India","1993-09-15","1995-12-31",1,74,3
"367","Kuki","India","1993-09-15","",0,70,3
"368","Kuki","India","1993-09-15","1998-10-16",1,39,3
"369","Dayak","Indonesia","1997-01-02","1997-02-19",1,361,3
"370","Dayak","Indonesia","1997-01-02","2001-04-03",1,496,3
"371","Dereiat","Iraq","1992-10-15","1992-10-20",1,266,3
"372","IMK","Iraq","1992-08-02","",0,29,1
"373","IMK","Iraq","1992-08-02","",0,122,1
"374","IMK","Iraq","1992-08-02","1994-08-07",1,62,1
"375","KDP","Iraq","1994-05-04","",0,646,1
"376","KDP","Iraq","1994-05-04","",0,330,1
"377","KDP","Iraq","1994-05-04","",0,130,1
"378","KDP","Iraq","1994-05-04","1997-11-09",1,99,1
"379","KDP","Iraq","1995-08-31","1995-12-06",1,338,1
"380","KDP","Iraq, Turkey","1995-08-31","1997-12-01",1,229,1
"381","KDP","Iraq","1995-08-31","2000-07-11",1,40,1
"382","Supporters of JLP","Jamaica","1989-01-24","2001-12-29",1,116,2
"383","Ajuran","Ethiopia, Kenya","2000-03-16","2000-11-30",1,78,3
"384","Borana","Kenya","1996-06-19","2001-02-08",1,30,3
"385","Kalenjin","Kenya","1992-04-09","",0,69,3
"386","Kalenjin","Kenya","1992-04-09","1993-10-25",1,27,3
"387","Kalenjin","Kenya","1992-03-15","1992-04-09",1,40,3
"388","Kisii","Kenya","1997-10-31","1997-12-28",1,57,3
"389","Kikuyu","Kenya","1992-06-10","1993-10-27",1,60,3
"390","Marakwet","Kenya","1999-03-31","2001-03-12",1,65,3
"391","Marakwet","Kenya","1999-03-31","2016-12-26",1,30,3
"392","Nandi","Kenya","1998-08-12","1998-09-01",1,35,3
"393","Orma, Wardei","Kenya","2001-03-07","2001-12-08",1,66,3
"394","Pokot, Samburu","Kenya","1996-12-03","1996-12-03",1,51,3
"395","Amal","Lebanon","1989-01-01","",0,213,1
"396","Amal","Lebanon","1989-01-01","1990-08-31",1,271,1
"397","Fatah","Lebanon","1989-05-31","1990-09-09",1,78,1
"398","Hezbollah","Lebanon","1989-10-24","",0,30,1
